,primary_isbn10,title,author,publisher,weeks_on_list
2020,316233684,THE SAFE MAN,Michael Connelly,"Little, Brown & Company",0
2021,345535960,ANGELS AT THE TABLE,Debbie Macomber,Random House Publishing,0
2022,None,DOWN TO YOU,M Leighton,M. Leighton,0
2023,None,LOVE LEFT BEHIND,SH Kolee,S.H. Kolee,0
2024,None,FALL OF GIANTS,Ken Follett,Penguin Group,0
2025,62200291,LIVE BY NIGHT,Dennis Lehane,HarperCollins Publishers,0
2026,1455501530,LOW PRESSURE,Sandra Brown,Grand Central Publishing,0
2027,030796048X,PHANTOM,Jo Nesbo,Knopf Doubleday Publishing,0
2028,62066269,THE LADY RISKS ALL,Stephanie Laurens,HarperCollins Publishers,0
2029,None,DELUSION IN DEATH,J D Robb,Penguin Group,0
2030,345536037,NEVER SEDUCE A SCOT,Maya Banks,Random House Publishing,0
2031,None,SEVERE CLEAR,Stuart Woods,Penguin Group,0
2032,1429944684,MIDST TOIL AND TRIBULATION,David Weber,Tom Doherty Associates,0
2033,None,RULES OF CIVILITY,Amor Towles,Penguin Group,0
2034,None,THE TOMBS,Clive Cussler and Thomas Perry,Penguin Group,0
2035,None,"WRONG BED, RIGHT GUY",Katee Robert,Entangled Publishing,0
2036,None,ROBERT B. PARKER'S FOOL ME TWICE,Michael Brandman,Penguin Group,0
2037,None,BECAUSE YOU ARE MINE PART VII,Beth Kery,Penguin Group,0
2038,345535952,LAST TO DIE,Tess Gerritsen,Random House Publishing,0
2039,1429957867,WHERE WE BELONG,Emily Giffin,St. Martin's Press,0
2040,None,ARCHANGELâS STORM,Nalini Singh,Berkley,0
